name,generation,type_1,type_2
Tapu Fini,7,Water,Fairy
Cosmog,7,Psychic,
Cosmoem,7,Psychic,
Solgaleo,7,Psychic,Steel
Lunala,7,Psychic,Ghost
Nihilego,7,Rock,Poison
Buzzwole,7,Bug,Fighting
Pheromosa,7,Bug,Fighting
Xurkitree,7,Electric,
Celesteela,7,Steel,Flying
Kartana,7,Grass,Steel
Guzzlord,7,Dark,Dragon
Necrozma,7,Psychic,
Dusk Mane Necrozma,7,Psychic,Steel
Dawn Wings Necrozma,7,Psychic,Ghost
Ultra Necrozma,7,Psychic,Dragon
Magearna,7,Steel,Fairy
Marshadow,7,Fighting,Ghost
Poipole,7,Poison,
Naganadel,7,Poison,Dragon
Stakataka,7,Rock,Steel
Blacephalon,7,Fire,Ghost
Zeraora,7,Electric,
Meltan,7,Steel,
Melmetal,7,Steel,
Grookey,8,Grass,
Thwackey,8,Grass,
Rillaboom,8,Grass,
Scorbunny,8,Fire,
Raboot,8,Fire,
Cinderace,8,Fire,
Sobble,8,Water,
Drizzile,8,Water,
Inteleon,8,Water,
Skwovet,8,Normal,
Greedent,8,Normal,
Rookidee,8,Flying,
Corvisquire,8,Flying,
Corviknight,8,Flying,Steel
Blipbug,8,Bug,
Dottler,8,Bug,Psychic
Orbeetle,8,Bug,Psychic
Nickit,8,Dark,
Thievul,8,Dark,
Gossifleur,8,Grass,
Eldegoss,8,Grass,
Wooloo,8,Normal,
Dubwool,8,Normal,
Chewtle,8,Water,
Drednaw,8,Water,Rock
Yamper,8,Electric,
Boltund,8,Electric,
Rolycoly,8,Rock,
Carkol,8,Rock,Fire
Coalossal,8,Rock,Fire
Applin,8,Grass,Dragon
Flapple,8,Grass,Dragon
Appletun,8,Grass,Dragon
Silicobra,8,Ground,
Sandaconda,8,Ground,
Cramorant,8,Flying,Water
Arrokuda,8,Water,
Barraskewda,8,Water,
Toxel,8,Electric,Poison
Toxtricity Low Key Form,8,Electric,Poison
Toxtricity Amped Form,8,Electric,Poison
Sizzlipede,8,Fire,Bug
Centiskorch,8,Fire,Bug
Clobbopus,8,Fighting,
Grapploct,8,Fighting,
Sinistea,8,Ghost,
Polteageist,8,Ghost,
Hatenna,8,Psychic,
Hattrem,8,Psychic,
Hatterene,8,Psychic,Fairy
Impidimp,8,Dark,Fairy
Morgrem,8,Dark,Fairy
Grimmsnarl,8,Dark,Fairy
Obstagoon,8,Dark,Normal
Perrserker,8,Steel,
Cursola,8,Ghost,
Sirfetch'd,8,Fighting,
Mr. Rime,8,Psychic,Ice
Runerigus,8,Ground,Ghost
Milcery,8,Fairy,
Alcremie,8,Fairy,
Falinks,8,Fighting,
Pincurchin,8,Electric,
Snom,8,Ice,Bug
Frosmoth,8,Ice,Bug
Stonjourner,8,Rock,
Eiscue Ice Face,8,Ice,
Eiscue Noice Face,8,Ice,
Indeedee Male,8,Psychic,Normal
Indeedee Female,8,Psychic,Normal
Morpeko Full Belly Mode,8,Electric,Dark
Morpeko Hangry Mode,8,Electric,Dark
Cufant,8,Steel,
Copperajah,8,Steel,
Dracozolt,8,Electric,Dragon
Arctozolt,8,Electric,Ice
Dracovish,8,Water,Dragon
Arctovish,8,Water,Ice
Duraludon,8,Steel,Dragon
Dreepy,8,Dragon,Ghost
Drakloak,8,Dragon,Ghost
Dragapult,8,Dragon,Ghost
Zacian Crowned Sword,8,Fairy,Steel
Zacian Hero of Many Battles,8,Fairy,
Zamazenta Crowned Shield,8,Fighting,Steel
Zamazenta Hero of Many Battles,8,Fighting,
Eternatus,8,Poison,Dragon
Eternatus Eternamax,8,Poison,Dragon
